Image_Metadata_Plate,Image_Metadata_Well,Image_Metadata_Site,Image_Metadata_isSaturated,Image_Metadata_isBlurry
24645,a01,1,0,0
24645,a01,2,0,0
24645,a01,3,0,0
24645,a01,4,0,0
24645,a01,5,0,0
24645,a01,6,0,0
24645,a02,1,0,0
24645,a02,2,0,0
24645,a02,3,0,0
24645,a02,4,0,0
24645,a02,5,0,0
24645,a02,6,0,0
24645,a03,1,0,0
24645,a03,2,0,0
24645,a03,3,0,0
24645,a03,4,0,0
24645,a03,5,0,0
24645,a03,6,0,0
24645,a04,1,0,0
24645,a04,2,0,0
24645,a04,3,0,0
24645,a04,4,0,0
24645,a04,5,0,0
24645,a04,6,0,0
24645,a05,1,0,0
24645,a05,2,0,0
24645,a05,3,0,0
24645,a05,4,0,0
24645,a05,5,0,0
24645,a05,6,0,0
24645,a06,1,0,0
24645,a06,2,0,0
24645,a06,3,0,0
24645,a06,4,0,0
24645,a06,5,0,0
24645,a06,6,0,0
24645,a07,1,0,0
24645,a07,2,0,0
24645,a07,3,0,0
24645,a07,4,0,0
24645,a07,5,0,0
24645,a07,6,0,0
24645,a08,1,0,0
24645,a08,2,0,0
24645,a08,3,0,0
24645,a08,4,0,0
24645,a08,5,0,0
24645,a08,6,0,0
24645,a09,1,0,0
24645,a09,2,0,0
24645,a09,3,0,0
24645,a09,4,0,0
24645,a09,5,0,0
24645,a09,6,0,0
24645,a10,1,0,0
24645,a10,2,0,0
24645,a10,3,0,0
24645,a10,4,0,0
24645,a10,5,0,0
24645,a10,6,0,0
24645,a11,1,0,0
24645,a11,2,0,0
24645,a11,3,0,0
24645,a11,4,0,0
24645,a11,5,0,0
24645,a11,6,0,0
24645,a12,1,0,0
24645,a12,2,0,0
24645,a12,3,0,0
24645,a12,4,0,0
24645,a12,5,0,0
24645,a12,6,0,0
24645,a13,1,0,0
24645,a13,2,0,0
24645,a13,3,0,0
24645,a13,4,0,0
24645,a13,5,0,0
24645,a13,6,0,0
24645,a14,1,0,0
24645,a14,2,0,0
24645,a14,3,0,0
24645,a14,4,0,0
24645,a14,5,0,0
24645,a14,6,0,0
24645,a15,1,0,0
24645,a15,2,0,0
24645,a15,3,0,0
24645,a15,4,0,0
24645,a15,5,0,0
24645,a15,6,0,0
24645,a16,1,0,0
24645,a16,2,0,0
24645,a16,3,0,0
24645,a16,4,0,0
24645,a16,5,0,0
24645,a16,6,0,0
24645,a17,1,0,0
24645,a17,2,0,0
24645,a17,3,0,0
24645,a17,4,0,0
24645,a17,5,0,0
24645,a17,6,0,0
24645,a18,1,0,0
24645,a18,2,0,0
24645,a18,3,0,0
24645,a18,4,0,0
24645,a18,5,0,0
24645,a18,6,0,0
24645,a19,1,0,0
24645,a19,2,0,0
24645,a19,3,0,0
24645,a19,4,0,0
24645,a19,5,0,0
24645,a19,6,0,0
24645,a20,1,0,0
24645,a20,2,0,0
24645,a20,3,0,0
24645,a20,4,0,0
24645,a20,5,0,0
24645,a20,6,0,0
24645,a21,1,0,0
24645,a21,2,0,0
24645,a21,3,0,0
24645,a21,4,0,0
24645,a21,5,0,0
24645,a21,6,0,0
24645,a22,1,0,0
24645,a22,2,0,0
24645,a22,3,0,0
24645,a22,4,0,0
24645,a22,5,0,0
24645,a22,6,0,0
24645,a23,1,0,0
24645,a23,2,0,0
24645,a23,3,0,0
24645,a23,4,0,0
24645,a23,5,0,0
24645,a23,6,0,0
24645,a24,1,0,0
24645,a24,2,0,0
24645,a24,3,0,0
24645,a24,4,0,0
24645,a24,5,0,0
24645,a24,6,0,0
24645,b01,1,0,0
24645,b01,2,0,0
24645,b01,3,0,0
24645,b01,4,0,0
24645,b01,5,0,0
24645,b01,6,0,0
24645,b02,1,0,0
24645,b02,2,0,0
24645,b02,3,0,0
24645,b02,4,0,0
24645,b02,5,0,0
24645,b02,6,0,0
24645,b03,1,1,0
24645,b03,2,1,0
24645,b03,3,0,0
24645,b03,4,0,0
24645,b03,5,1,0
24645,b03,6,0,0
24645,b04,1,0,0
24645,b04,2,0,0
24645,b04,3,0,0
24645,b04,4,0,0
24645,b04,5,0,0
24645,b04,6,0,0
24645,b05,1,0,0
24645,b05,2,0,0
24645,b05,3,0,0
24645,b05,4,0,0
24645,b05,5,0,0
24645,b05,6,0,0
24645,b06,1,0,0
24645,b06,2,0,0
24645,b06,3,0,0
24645,b06,4,0,0
24645,b06,5,0,0
24645,b06,6,0,0
24645,b07,1,0,0
24645,b07,2,0,0
24645,b07,3,0,0
24645,b07,4,0,0
24645,b07,5,0,0
24645,b07,6,0,0
24645,b08,1,0,0
24645,b08,2,0,0
24645,b08,3,0,0
24645,b08,4,0,0
24645,b08,5,0,0
24645,b08,6,0,0
24645,b09,1,0,0
24645,b09,2,0,0
24645,b09,3,0,0
24645,b09,4,0,0
24645,b09,5,0,0
24645,b09,6,0,0
24645,b10,1,0,0
24645,b10,2,0,0
24645,b10,3,0,0
24645,b10,4,0,0
24645,b10,5,0,0
24645,b10,6,0,0
24645,b11,1,0,0
24645,b11,2,0,0
24645,b11,3,0,0
24645,b11,4,0,0
24645,b11,5,0,0
24645,b11,6,0,0
24645,b12,1,0,0
24645,b12,2,0,0
24645,b12,3,0,0
24645,b12,4,0,0
24645,b12,5,0,0
24645,b12,6,0,0
24645,b13,1,0,0
24645,b13,2,0,0
24645,b13,3,0,0
24645,b13,4,0,0
24645,b13,5,0,0
24645,b13,6,0,0
24645,b14,1,0,0
24645,b14,2,0,0
24645,b14,3,0,0
24645,b14,4,0,0
24645,b14,5,0,0
24645,b14,6,0,0
24645,b15,1,0,0
24645,b15,2,0,0
24645,b15,3,0,0
24645,b15,4,0,0
24645,b15,5,0,0
24645,b15,6,0,0
24645,b16,1,0,0
24645,b16,2,0,0
24645,b16,3,0,0
24645,b16,4,0,0
24645,b16,5,0,0
24645,b16,6,0,0
24645,b17,1,0,0
24645,b17,2,0,0
24645,b17,3,0,0
24645,b17,4,0,0
24645,b17,5,0,0
24645,b17,6,0,0
24645,b18,1,0,0
24645,b18,2,0,0
24645,b18,3,0,0
24645,b18,4,0,0
24645,b18,5,0,0
24645,b18,6,0,0
24645,b19,1,0,0
24645,b19,2,0,0
24645,b19,3,0,0
24645,b19,4,0,0
24645,b19,5,0,0
24645,b19,6,0,0
